Power,RPS_MAX,RPS_MIN,RPS_avg,Battery_Voltage
0.05,5.71,4.29,4.94,13.59
0.10,10.00,7.86,9.03,13.58
0.15,14.29,12.86,13.33,13.58
0.20,18.57,16.43,17.21,13.57
0.25,22.14,20.00,20.94,13.55
0.30,26.43,24.29,25.15,13.53
0.35,30.71,28.57,29.36,13.50
0.40,35.00,32.14,33.56,13.49
0.45,39.29,36.43,37.77,13.46
0.50,43.57,40.71,41.96,13.43
0.55,47.14,45.00,46.24,13.38
0.60,51.43,49.29,50.43,13.35
0.65,55.71,53.57,54.66,13.30
0.70,60.00,57.86,58.85,13.27
0.75,64.29,62.14,63.13,13.22
0.80,69.29,66.43,67.54,13.17
0.85,73.57,71.43,72.31,13.11
0.90,77.86,75.71,77.01,13.07
0.95,81.43,80.71,81.14,13.02
1.00,83.57,82.86,82.95,12.91
