Iteration,targetRPS,kp,ki,kd,rampUpTime,maxRPS,minRPS,reachedTarget,stalled
1,40.0,0.000010,0.001000,0.001000,4846.23,40.00,38.57,true,false
2,40.0,0.000010,0.001000,0.001000,1490.60,49.29,41.43,true,false
3,40.0,0.000010,0.001000,0.001000,5135.42,40.00,37.86,true,false
4,40.0,0.000010,0.001000,0.001000,5082.97,40.00,38.57,true,false
5,40.0,0.010000,0.001000,0.001000,1369.83,47.14,40.00,true,false
6,40.0,0.010000,0.001000,0.001000,4073.68,40.00,38.57,true,false
7,40.0,0.010000,0.001000,0.001000,4149.47,40.00,37.86,true,false
8,40.0,0.010000,0.001000,0.001000,1390.83,47.14,40.71,true,false
9,40.0,0.010000,0.001000,0.001000,1376.77,47.14,40.71,true,false
10,40.0,0.010000,0.001000,0.001000,1381.22,47.14,40.71,true,false
11,40.0,0.010000,0.001000,0.001000,4037.95,40.00,38.57,true,false
12,40.0,0.010000,0.001000,0.001000,4008.75,40.00,38.57,true,false
13,40.0,0.010000,0.001000,0.001000,4090.44,40.71,37.86,true,false
14,40.0,0.010000,0.001000,0.001000,4140.54,40.00,38.57,true,false
15,40.0,0.010000,0.001000,0.001000,1427.87,46.43,40.71,true,false
16,40.0,0.010000,0.001000,0.001000,4140.26,39.29,38.57,true,false
17,40.0,0.010000,0.001000,0.001000,4090.59,40.00,37.86,true,false
18,40.0,0.010000,0.001000,0.001000,1436.05,47.14,40.71,true,false
19,40.0,0.010000,0.001000,0.001000,1438.23,47.14,40.00,true,false
20,40.0,0.010000,0.001000,0.001000,4034.61,40.71,38.57,true,false
21,40.0,0.010000,0.001000,0.001000,4087.57,40.00,39.29,true,false
22,40.0,0.010000,0.001000,0.001000,1458.92,47.14,40.71,true,false
23,40.0,0.010000,0.001000,0.001000,4166.46,40.71,38.57,true,false
24,40.0,0.010000,0.001000,0.001000,1445.91,47.14,40.00,true,false
25,40.0,0.010000,0.001000,0.001000,4151.64,40.00,37.86,true,false
26,40.0,0.010000,0.001000,0.001000,4122.02,40.00,38.57,true,false
27,40.0,0.010000,0.001000,0.001000,4148.90,40.00,37.86,true,false
28,40.0,0.010000,0.001000,0.001000,1453.63,47.14,40.00,true,false
29,40.0,0.010000,0.001000,0.001000,4225.19,40.71,38.57,true,false
30,40.0,0.010000,0.001000,0.001000,4313.37,40.00,38.57,true,false
VALIDATION,15.0,0.010000,0.001000,0.001000,922.24,18.57,15.00,true,false
VALIDATION,20.0,0.010000,0.001000,0.001000,915.37,26.43,20.71,true,false
VALIDATION,25.0,0.010000,0.001000,0.001000,916.50,34.29,25.71,true,false
VALIDATION,30.0,0.010000,0.001000,0.001000,4750.23,31.43,29.29,true,false
VALIDATION,35.0,0.010000,0.001000,0.001000,3468.76,35.00,32.86,true,false
VALIDATION,40.0,0.010000,0.001000,0.001000,1466.02,46.43,40.71,true,false
VALIDATION,45.0,0.010000,0.001000,0.001000,1759.32,51.43,45.71,true,false
VALIDATION,50.0,0.010000,0.001000,0.001000,2110.49,55.71,50.71,true,false
VALIDATION,55.0,0.010000,0.001000,0.001000,2452.75,59.29,55.00,true,false
VALIDATION,60.0,0.010000,0.001000,0.001000,2989.84,64.29,60.71,true,false
