CurrentRPS,CurrentPower,CurrentVoltage,HoodPosition,DistanceToTargetMM
32.14,0.36,11.62,0.25,724.59
32.14,0.36,11.62,0.25,724.59
32.14,0.36,11.62,0.25,724.59
32.14,0.36,11.62,0.25,724.59
33.57,0.37,10.76,0.35,918.81
33.57,0.37,10.76,0.35,918.81
33.57,0.37,10.76,0.35,918.81
33.57,0.37,10.76,0.35,918.81
33.57,0.37,10.76,0.35,918.81
33.57,0.37,10.76,0.35,918.81
32.14,0.37,11.62,0.45,1126.64
32.14,0.37,11.62,0.45,1126.64
32.14,0.37,11.62,0.45,1126.64
32.14,0.37,11.62,0.45,1126.64
32.14,0.37,11.62,0.45,1126.64
32.14,0.37,11.62,0.45,1126.64
