CurrentRPS,CurrentPower,CurrentVoltage,DistanceToTargetMM
47.14,0.56,11.97,3441.86
47.14,0.56,11.97,3441.86
47.14,0.56,11.97,3441.86
47.14,0.54,12.52,3283.80
47.14,0.54,12.52,3283.80
47.14,0.54,12.52,3283.80
47.14,0.54,12.52,3283.80
45.00,0.53,11.80,3138.04
45.00,0.53,11.80,3138.04
45.00,0.52,12.60,3001.90
45.00,0.52,12.60,3001.90
44.29,0.51,11.86,2865.43
44.29,0.51,11.86,2865.43
44.29,0.51,11.86,2865.43
44.29,0.50,12.45,2729.31
44.29,0.50,12.45,2729.31
42.14,0.48,11.56,2590.71
42.14,0.48,11.56,2590.71
41.43,0.47,11.70,2446.11
41.43,0.47,11.70,2446.11
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
40.71,0.46,11.49,2328.51
38.57,0.45,12.07,2328.50
38.57,0.45,12.07,2328.50
38.57,0.45,12.07,2328.50
38.57,0.45,12.07,2328.50
38.57,0.45,12.07,2328.50
38.57,0.45,12.07,2328.50
37.86,0.43,11.56,2186.13
37.86,0.43,11.56,2186.13
37.86,0.44,11.65,2186.20
37.86,0.44,11.65,2186.20
35.00,0.42,12.43,2070.17
35.00,0.42,12.43,2070.17
35.00,0.42,12.43,2070.17
35.00,0.42,12.43,2070.17
34.29,0.42,11.48,1931.24
34.29,0.42,11.48,1931.24
34.29,0.42,11.48,1931.24
32.86,0.41,11.55,1813.77
32.86,0.41,11.55,1813.77
32.14,0.40,12.37,1700.15
32.14,0.40,12.37,1700.15
32.86,0.39,11.72,1595.31
32.86,0.39,11.72,1595.31
30.00,0.38,11.54,1496.56
30.00,0.38,11.54,1496.56
32.86,0.38,11.34,1496.59
32.86,0.38,11.34,1496.59
32.86,0.38,11.34,1496.59
32.86,0.38,11.34,1496.59
32.86,0.38,11.34,1496.59
32.86,0.37,11.97,1411.42
32.86,0.37,11.97,1411.42
32.86,0.37,11.97,1411.42
32.86,0.37,11.97,1411.42
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
32.14,0.38,11.17,1341.74
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
31.43,0.37,11.29,1290.48
32.14,0.37,11.25,1251.09
32.14,0.37,11.25,1251.09
32.14,0.37,11.25,1251.09
34.29,0.39,12.28,1526.71
34.29,0.39,12.28,1526.71
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.38,12.25,1321.83
30.71,0.37,12.25,1143.96
30.71,0.37,12.25,1143.96
30.71,0.37,12.25,1143.96
30.71,0.37,12.25,1143.96
30.71,0.37,12.25,1143.96
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
29.29,0.36,11.41,975.80
