TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
47.04,47.86,0.800,3389.9,Bad - Overshot,1764386706033
46.25,46.43,0.800,3223.2,Bad - Overshot,1764386717552
46.52,46.43,0.800,3508.9,Good,1764386725638
38.35,37.86,0.800,2284.6,Good,1764386736035
38.35,38.57,0.800,2284.9,Good,1764386747335
41.71,42.14,0.800,2544.3,Bad - Overshot,1764386757235
46.69,47.86,0.800,3253.4,Bad - Overshot,1764386775594
46.60,46.43,0.800,3566.3,Bad - Overshot,1764386789323
46.60,47.14,0.800,3651.1,Good,1764386798712
45.00,44.29,0.800,3024.9,Good,1764386811363
