test,kp,ki,kd,targetDegrees,targetTicks,finalTicks,maxTicks,minTicks,avgTicks,timeToTarget,overshoot,steadyStateError,oscillationRange,reachedTarget
1,0.002000,0.000005,0.000040,-180.0,-750.0,0.0,0.0,0.0,0.0,5052.8,0.0,750.0,0.0,false
2,0.002000,0.000005,0.000040,-165.0,-688.0,0.0,0.0,0.0,0.0,5049.5,0.0,688.0,0.0,false
3,0.002000,0.000005,0.000040,-150.0,-625.0,0.0,0.0,0.0,0.0,5043.8,0.0,625.0,0.0,false
4,0.002000,0.000005,0.000040,-135.0,-563.0,0.0,0.0,0.0,0.0,5022.5,0.0,563.0,0.0,false
5,0.002000,0.000005,0.000040,-120.0,-500.0,0.0,0.0,0.0,0.0,5024.6,0.0,500.0,0.0,false
6,0.002000,0.000005,0.000040,-105.0,-438.0,0.0,0.0,0.0,0.0,5017.4,0.0,438.0,0.0,false
7,0.002000,0.000005,0.000040,-90.0,-375.0,0.0,0.0,0.0,0.0,5000.4,0.0,375.0,0.0,false
8,0.002000,0.000005,0.000040,-75.0,-312.0,0.0,0.0,0.0,0.0,5007.2,0.0,312.0,0.0,false
9,0.002000,0.000005,0.000040,-60.0,-250.0,0.0,0.0,0.0,0.0,5001.4,0.0,250.0,0.0,false
10,0.002000,0.000005,0.000040,-45.0,-187.0,0.0,0.0,0.0,0.0,5003.6,0.0,187.0,0.0,false
11,0.002000,0.000005,0.000040,-30.0,-125.0,0.0,0.0,0.0,0.0,5008.1,0.0,125.0,0.0,false
12,0.002000,0.000005,0.000040,-15.0,-62.0,0.0,0.0,0.0,0.0,5053.2,0.0,62.0,0.0,false
13,0.002000,0.000005,0.000040,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,true
14,0.002000,0.000005,0.000040,15.0,62.0,0.0,0.0,0.0,0.0,5052.4,0.0,62.0,0.0,false
15,0.002000,0.000005,0.000040,30.0,125.0,0.0,0.0,0.0,0.0,5020.9,0.0,125.0,0.0,false
16,0.002000,0.000005,0.000040,45.0,187.0,0.0,0.0,0.0,0.0,5016.3,0.0,187.0,0.0,false
17,0.002000,0.000005,0.000040,60.0,250.0,0.0,0.0,0.0,0.0,5015.8,0.0,250.0,0.0,false
18,0.002000,0.000005,0.000040,75.0,312.0,0.0,0.0,0.0,0.0,5018.8,0.0,312.0,0.0,false
19,0.002000,0.000005,0.000040,90.0,375.0,0.0,0.0,0.0,0.0,5021.9,0.0,375.0,0.0,false
20,0.002000,0.000005,0.000040,105.0,438.0,0.0,0.0,0.0,0.0,5045.1,0.0,438.0,0.0,false
21,0.002000,0.000005,0.000040,120.0,500.0,0.0,0.0,0.0,0.0,5043.4,0.0,500.0,0.0,false
22,0.002000,0.000005,0.000040,135.0,563.0,0.0,0.0,0.0,0.0,5044.3,0.0,563.0,0.0,false
23,0.002000,0.000005,0.000040,150.0,625.0,0.0,0.0,0.0,0.0,5046.7,0.0,625.0,0.0,false
24,0.002000,0.000005,0.000040,165.0,688.0,0.0,0.0,0.0,0.0,5047.8,0.0,688.0,0.0,false
25,0.002000,0.000005,0.000040,180.0,750.0,0.0,0.0,0.0,0.0,5046.1,0.0,750.0,0.0,false
